video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q027,ما الجملة المذكورة في هذا السياق؟,زي ما بيحصل في (أوروبا),Easy,زي ما بيحصل في,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q028,كيف صيغت العبارة هنا؟,في أماكن مختلفة من العالم.,Medium,في اماكن مختلفه من العالم .,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q029,ما الذي قيل في هذا الجزء؟,الرئيس الأمريكي،,Easy,الرييس الامريكي ،,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q030,ما النص الحرفي المذكور في هذه الفقرة؟,بيموت قُدّامنا على الشاشات!,Medium,بيموت قدامنا علي الشاشات !,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q031,ماذا ورد في هذا الموضع من النص؟,احنا القوة اللي بتحكُم،,Easy,احنا القوه اللي بتحكم ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q032,ما الجملة المذكورة في هذا السياق؟,هيبدأ يبقى هُناك أسئلة،,Medium,هيبدا يبقي هناك اسيله ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q033,كيف صيغت العبارة هنا؟,قاتل فردي كدا لوحده، مع نفسه؟,Easy,قاتل فردي كدا لوحده ، مع نفسه ؟,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q034,ما الذي قيل في هذا الجزء؟,"عايزة تقتل ""كينيدي""؟",Medium,عايزه تقتل كينيدي ؟,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q035,ما النص الحرفي المذكور في هذه الفقرة؟,مش عارفة تجاوب عليها،,Easy,مش عارفه تجاوب عليها ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q036,ماذا ورد في هذا الموضع من النص؟,"وصفوا موت ""كينيدي"" بإنه...",Medium,وصفوا موت كينيدي بانه...,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q037,ما الجملة المذكورة في هذا السياق؟,وإن الحقايق قُدّامهم،,Easy,وان الحقايق قدامهم ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q038,كيف صيغت العبارة هنا؟,"""أمريكا"" خرجت نافشة ريشها،",Medium,امريكا خرجت نافشه ريشها ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q039,ما الذي قيل في هذا الجزء؟,السياسي والاقتصادي،,Easy,السياسي الاقتصادي ،,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q040,ما النص الحرفي المذكور في هذه الفقرة؟,زاد، بسم الله، ما شاء الله، 150%،,Medium,زاد ، بسم الله ، ما شاء الله ، 150% ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q041,ماذا ورد في هذا الموضع من النص؟,حرب عالمية تانية وكساد عظيم.,Easy,حرب عالميه تانيه وكساد عظيم .,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q042,ما الجملة المذكورة في هذا السياق؟,ظهور لأول مرة للطبقة الوسطى،,Medium,ظهور لاول مره للطبقه الوسطي ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q043,كيف صيغت العبارة هنا؟,الحلم الأمريكي بتاع الأفلام،,Easy,الحلم الامريكي بتاع الافلام ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q044,ما الذي قيل في هذا الجزء؟,زي ما احنا عارفين،,Medium,زي ما احنا عارفين ،,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q045,ما النص الحرفي المذكور في هذه الفقرة؟,مستني ينفجر في أي لحظة،,Easy,مستني ينفجر في اي لحظه ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q046,ماذا ورد في هذا الموضع من النص؟,أول قاعدة في المدينة الفاضلة،,Medium,اول قاعده في المدينه الفاضله ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q047,ما الجملة المذكورة في هذا السياق؟,لأي شيء غير مثالي أن يظهر،,Easy,لاي شيء غير مثالي ان يظهر ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q048,كيف صيغت العبارة هنا؟,ولكن ما يظهرش،,Medium,ولكن ما يظهرش ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q049,ما الذي قيل في هذا الجزء؟,هُما موظفين في مشروع الحلم الأمريكي الكبير،,Easy,هما موظفين في مشروع الحلم الامريكي الكبير ،,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q050,ما النص الحرفي المذكور في هذه الفقرة؟,نخلّص الشغل ونرجع من الشغل،,Medium,نخلص الشغل ونرجع من الشغل ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q051,ماذا ورد في هذا الموضع من النص؟,وقت الحرب، وقت ما كان الرجالة بيحاربوا،,Easy,وقت الحرب ، وقت ما كان الرجاله بيحاربوا ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q052,ما الجملة المذكورة في هذا السياق؟,اللي بتعبّر عن العجز الذكوري،,Medium,اللي بتعبر عن العجز الذكوري ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q053,كيف صيغت العبارة هنا؟,اللي كانت القوى الناعمة بتحاول تظهرها،,Easy,اللي كانت القوي الناعمه بتحاول تظهرها ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q054,ما الذي قيل في هذا الجزء؟,بنشوف رسالة واضحة،,Medium,بنشوف رساله واضحه ،,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q055,ما النص الحرفي المذكور في هذه الفقرة؟,من جزء في حدوتة جميلة،,Easy,من جزء في حدوته جميله ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q056,ماذا ورد في هذا الموضع من النص؟,واقفة بالريشة كدا.,Medium,واقفه بالريشه كدا .,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q057,ما الجملة المذكورة في هذا السياق؟,ونرجع للشباب الصغير، النشء، البراعم،,Easy,ونرجع للشباب الصغير ، النشء ، البراعم ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q058,كيف صيغت العبارة هنا؟,كل الأفكار بتاعتهم بيتقالّها لأ،,Medium,كل الافكار بتاعتهم بيتقالها لا ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q059,ما الذي قيل في هذا الجزء؟,بتمرُّد بيظهر فجأة،,Easy,بتمرد بيظهر فجاه ،,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q060,ما النص الحرفي المذكور في هذه الفقرة؟,"زي فيلم ""متمرد بلا قضية""،",Medium,زي فيلم متمرد بلا قضيه ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q061,ماذا ورد في هذا الموضع من النص؟,"بيعبّر عن ملايين الشباب في ""أمريكا""،",Easy,بيعبر عن ملايين الشباب في امريكا ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q062,ما الجملة المذكورة في هذا السياق؟,هذه الصورة على مستوى الأفراد،,Medium,هذه الصوره علي مستوي الافراد ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q063,كيف صيغت العبارة هنا؟,فيه حاجة كبيرة جدًا جدًا جدًا جدًا جدًا بتحصل،,Easy,فيه حاجه كبيره جدا جدا جدا جدا جدا بتحصل ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q064,ما الذي قيل في هذا الجزء؟,"بعد مشروع ""مانهاتن"" كانت متطمنة",Medium,بعد مشروع مانهاتن كانت متطمنه,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q065,ما النص الحرفي المذكور في هذه الفقرة؟,"يجيلهم السوفييت يقولولهم: ""سلام عليكم!",Easy,يجيلهم السوفييتي يقولولهم: سلام عليكم !,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q066,ماذا ورد في هذا الموضع من النص؟,والناس عايشة في رعب شديد،,Medium,والناس عايشه في رعب شديد ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q067,ما الجملة المذكورة في هذا السياق؟,بتمرّن العيال على حالات الطوارئ،,Easy,بتمرن العيال علي حالات الطواري ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q068,كيف صيغت العبارة هنا؟,مش حريقة في فصل،,Medium,مش حريقه في فصل ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q069,ما الذي قيل في هذا الجزء؟,"ممكن تقولّي على التمرين يا (أبو حميد)؟!""",Easy,ممكن تقولي علي التمرين يا ؟ !,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q070,ما النص الحرفي المذكور في هذه الفقرة؟,بقت بتبني ملاجئ من القنابل،,Medium,بقت بتبني ملاجي من القنابل ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q071,ماذا ورد في هذا الموضع من النص؟,معاه قنبلة نووية، عايش في قارة بعيدة،,Easy,معاه قنبله نوويه ، عايش في قاره بعيده ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q072,ما الجملة المذكورة في هذا السياق؟,بيدخلوا في حالة من البارانويا،,Medium,بيدخلوا في حاله من البارانويا ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q073,كيف صيغت العبارة هنا؟,"لأفكار ""الاتحاد السوفييتي""،",Easy,لافكار الاتحاد السوفييتي ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q074,ما الذي قيل في هذا الجزء؟,"قادها السيناتور ""جوزيف مكارثر""",Medium,قادها السيناتور جوزيف مكارثر,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q075,ما النص الحرفي المذكور في هذه الفقرة؟,نسخة القرن الـ20،,Easy,نسخه القرن ال 20 ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q076,ماذا ورد في هذا الموضع من النص؟,أو يعرف حد شيوعي،,Medium,او يعرف حد شيوعي ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q077,ما الجملة المذكورة في هذا السياق؟,ممكن يبقى عارف حد إنه شيوعي،,Easy,ممكن يبقي عارف حد انه شيوعي ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q078,كيف صيغت العبارة هنا؟,هيمتد حتى لسياساتهم الخارجية،,Medium,هيمتد حتي لسياساتهم الخارجيه ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q079,ما الذي قيل في هذا الجزء؟,اللي احنا عايزين نحاربهم،,Easy,اللي احنا عايزين نحاربهم ،,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q080,ما النص الحرفي المذكور في هذه الفقرة؟,"ما بنحاربش بعض.""",Medium,ما بنحاربش بعض .,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q081,ماذا ورد في هذا الموضع من النص؟,هتبدأ الـCIA والمخابرات الأمريكية,Easy,هتبدا ال cia والمخابرات الامريكي,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q082,ما الجملة المذكورة في هذا السياق؟,في أي أماكن نفوذهم بيتهدد فيها،,Medium,في اي اماكن نفوذهم بيتهدد فيها ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q083,كيف صيغت العبارة هنا؟,هتكون طالعة من جواها،,Easy,هتكون طالعه من جواها ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q084,ما الذي قيل في هذا الجزء؟,هنجد إن هُناك الملايين من الـAfro Americans,Medium,هنجد ان هناك الملايين من ال afro americans,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q085,ما النص الحرفي المذكور في هذه الفقرة؟,وهو العنصرية،,Easy,وهو العنصريه ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q086,ماذا ورد في هذا الموضع من النص؟,"ما يُعرف بـ""قوانين (جيم كرو)""،",Medium,ما يعرف بقوانين ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q087,ما الجملة المذكورة في هذا السياق؟,اللي كانت بتفصل السود عن البيض في كل حاجة،,Easy,اللي كانت بتفصل السود عن البيض في كل حاجه ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q088,كيف صيغت العبارة هنا؟,إن انت ممكن تبقى مجرم!,Medium,ان انت ممكن تبقي مجرم !,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q089,ما الذي قيل في هذا الجزء؟,إنه صفّر لست بيضا في محل.,Easy,انه صفر لست بيضا في محل .,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q090,ما النص الحرفي المذكور في هذه الفقرة؟,"""اللي عذبوه وقتلوه حصلّهم إيه؟""",Medium,اللي عذبوه وقتلوه حصلهم ايه ؟,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q091,ماذا ورد في هذا الموضع من النص؟,على جنازة بتابوت مفتوح للولد،,Easy,علي جنازه بتابوت مفتوح للولد ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q092,ما الجملة المذكورة في هذا السياق؟,"عملوا إيه في ابني.""",Medium,عملوا ايه في ابني .,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q093,كيف صيغت العبارة هنا؟,"صدمة كبيرة جدًا جدًا في ""أمريكا"".",Easy,صدمه كبيره جدا جدا في امريكا .,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q094,ما الذي قيل في هذا الجزء؟,"في مقاطعة ""مونتجمري""",Medium,في مقاطعه مونتجمري,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q095,ما النص الحرفي المذكور في هذه الفقرة؟,من على الكرسي بتاعها في الأتوبيس,Easy,من علي الكرسي بتاعها في الاتوبيس,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q096,ماذا ورد في هذا الموضع من النص؟,داخل عليك رجُل أبيض، المفروض تقومله،,Medium,داخل عليك رجل ابيض ، المفروض تقومله ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q097,ما الجملة المذكورة في هذا السياق؟,تجرأت على هذا الفعل الفردي،,Easy,تجرات علي هذا الفعل الفردي ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q098,كيف صيغت العبارة هنا؟,"لأتوبيسات ""مونتجمري""،",Medium,الاتوبيسات مونتجمري ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q099,ما الذي قيل في هذا الجزء؟,بيظهرلنا قس شاب،,Easy,يظهرلنا قس شاب ،,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q100,ما النص الحرفي المذكور في هذه الفقرة؟,بيوحّد غضب السود,Medium,بيوحد غضب السود,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q101,ماذا ورد في هذا الموضع من النص؟,"على سياسة اللاعنف، ""مش هنحاربهم.""",Easy,علي سياسه اللاعنف ، مش نحاربهم .,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q102,ما الجملة المذكورة في هذا السياق؟,إن هُما ينهوا الفصل في الأتوبيسات،,Medium,ان هما ينهوا الفصل في الاتوبيسات ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q103,كيف صيغت العبارة هنا؟,يخالفوا قوانين العنصرية دي بنفسهم،,Easy,يخالفوا قوانين العنصريه دي بنفسهم ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q104,ما الذي قيل في هذا الجزء؟,"وحُط عينك في عينه، انت مش أقل منه في حاجة.""",Medium,وحط عينك في عينه ، انت مش اقل منه في حاجه .,ما الذي قيل في هذا الجزء ؟,True
